,text,neutral,positive,negative,narrator,y,text_french
26,"για τώρα εδώ να κοντοστέκεσαι για να διαγέρνεις πάλε,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]","Pour l'instant, tu restes là à te battre."
27,μη ουδέ ραβδί κι ουδέ και στέφανα του Φοίβου σε γλιτώσουν.,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Ni bâton, ni couronne de Phoebe ne t'échapperont."
28,"Δε λευτερώνω εγώ την κόρη σου, πριν μου γεράσει πρώτα",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]",Je ne libérerai pas ta fille avant qu'elle ne me vieillisse.
29,"στο Άργος, μακριά από την πατρίδα της, στο αρχοντικό μου μέσα,",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]","à Argos, loin de chez elle, dans mon manoir,"
30,"στον αργαλειό τη μέρα, ταίρι μου τη νύχτα στο κρεβάτι.",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]","Au boulot le jour, mon partenaire la nuit au lit."
31,"Μον᾿ τράβα, μη μου ανάβεις τα αίματα, γερός αv θες να φύγεις.»",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Vas-y, ne m'excite pas si tu veux partir."
32,"Είπε, κι ο γέροντας φοβήθηκε κι υπάκουσε στο λόγο᾿",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il a dit, et le vieil homme a eu peur et a obéi."
33,"πήρε βουβός του πολυτάραχου γιαλού τον άμμον άμμο,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Il a pris le sable muet du yalu très agité,"
34,"κι ως μάκρυνε, το ρήγα Απόλλωνα, της ομορφομαλλούσας",0.375,0.375,0.125,0.125,"[0.375, 0.375, 0.125, 0.125]","Et comme elle s'est étendue, le roi Apollon, la jolie femme."
35,"Λητώς το γιο, με θέρμη ο γέροντας ν᾿ ανακαλιέται επήρε:",0.5,0.25,0.125,0.125,"[0.5, 0.25, 0.125, 0.125]","A cause de son fils, le vieil homme se rappela avec chaleur:"
36,"« Επάκουσέ μου, ασημοδόξαρε, που κυβερνάς τη Χρύσα",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]","Écoute-moi, sale fils de pute, qui régne sur l'Ombre."
37,"και την τρισάγια Κίλλα, κι άσφαλτα την Τένεδο αφεντεύεις,",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]","Et la trisaya Killa, et la Tennedo, tu domines."
38,"Ποντικοδαίμονα, αν σου στέγασα ναό χαριτωμένο",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]","Souris de souris, si je t'avais abrité un temple mignon"
39,"κάποτε ως τώρα εγώ, για αν σου 'καψα παχιά μεριά ποτέ μου,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","Jusqu'à maintenant, c'est moi qui t'ai grillé les côtes."
40,"γιδίσια για ταυρίσια, επάκουσε, και δώσε να πλερώσουν",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","Les chèvres pour les taureaux, écoutez, et donnez-les-moi."
41,οι Δαναοί με τις σαγίτες σου τα δάκρυα που 'χω χύσει!»,0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]","Les Danois avec tes gâteaux, les larmes que j'ai renversées."
42,"Είπε, και την ευκή του επάκουσεν ο Απόλλωνας ο Φοίβος,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il dit: Et Apollon, le Phoebe, exauça sa bonté,"
43,"κι απ᾿ την κορφή του Ολύμπου εχύθηκε θυμό γεμάτος, κι είχε",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]","Et depuis le sommet de l'Olympe, la colère s'est répandue, et il avait"
44,δοξάρι και κλειστό στις πλάτες του περάσει σαϊτολόγο',0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]",archet et fermé sur son dos passe saitologue;
45,"κι αντιβροντούσαν οι σαγίτες του στις πλάτες, μανιασμένος",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]","Et ses crocs s'empalaient sur le dos, furieux."
46,καθώς τραβούσε· και κατέβαινε σαν τη νυχτιά τη μαύρη.,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]","Comme il tirait, il descendait comme la nuit noire."
47,"Κάθισε αλάργα απ᾿ τα πλεούμενα κι ευτύς σαγίτα ρίχνει,",0.125,0.375,0.375,0.125,"[0.125, 0.375, 0.375, 0.125]",Assieds-toi sur les bateaux.
48,και το ασημένιο του αντιδόνησε τρομαχτικά δοξάρι.,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]",Et son argent a résisté à l'arc.
49,"Τις μούλες πρώτα πρώτα δόξευε και τους γοργούς τους σκύλους,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","D'abord, il glorifiait les chiens rapides."
50,μετά τις μυτερές του ρίχνοντας σαγίτες τους ανθρώπους,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Après ses coups de poing, jetant des gâteaux aux gens."
51,σαγίτευε᾿ κι άναβαν άπαυτα για τους νεκρούς οι φλόγες.,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]",Elle saignait et les flammes s'enflammaient pour les morts.
52,"Μέρες εννιά απολιόταν πάνω τους το θείο σαγιτοβόλι,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Pendant neuf jours, ils avaient un oncle sandwich sur eux."
53,κι απά στις δέκα πια τη σύναξη συγκάλεσε ο Αχιλλέας',0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]","à dix heures, Achille convoqua l'assemblée;"
54,"η Ήρα, η θεά η κρουσταλλοβράχιονη, τον είχε λέω φωτίσει,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","Héra, la déesse, la grenouille, l'avait illuminé."
55,"περίσσια που γνοιαζόταν, βλέποντας οι Αργίτες να πεθαίνουν.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]",Un peu plus qu'il ne pensait à voir mourir les Argytes.
56,"Κι εκείνοι τότε αφού μαζώχτηκαν κι όλοι μαζί βρέθηκαν,",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]","Et quand ils se sont rassemblés et qu'ils se sont retrouvés ensemble,"
57,πήρε ο Αχιλλέας ο φτεροπόδαρος κι ορθός μιλούσε ομπρός τους:,0.25,0.625,0.0,0.125,"[0.25, 0.625, 0.0, 0.125]","Achille, le plumard, leur parla avec droiture:"
58,"«Ατρείδη, τώρα θα γυρίσουμε λέω στην πατρίδα πίσω",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Atreides, on rentre à la maison."
59,"με άδεια τα χέρια, αν ξεγλιτώσουμε μονάχα από το Χάρο,",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Les mains vides, si on ne sort que de la Mort,"
60,καθώς η λοιμική κι ο πόλεμος μαζί μας ξεκληρίζουν.,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]",tandis que la peste et la guerre nous anéantissent.
61,"Μον᾿ έλα, κάποιον να ρωτήσουμε για λειτουργό για μάντη,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Allez, quelqu'un à qui parler d'une assistante pour un devin."
62,"για ονειροκρίτη ακόμα—τ᾿ όνειρο, κι εκείνο ο Δίας το στέλνει—",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]","C'est un rêve, et Zeus l'envoie."
63,"να πει, γιατί μαθές ο Απόλλωνας σε τόση οργή μας έχει;",0.25,0.25,0.375,0.125,"[0.25, 0.25, 0.375, 0.125]",Pourquoi as-tu appris à Apollon à être aussi furieux?
64,"Μήνα κανένα τάμα του 'λειψε, μήνα τρανή θυσία;",0.375,0.125,0.375,0.125,"[0.375, 0.125, 0.375, 0.125]","Un mois de tama a-t-il manqué, un mois de grand sacrifice?"
65,Μπας και την κνίσα από αψεγάδιαστα γίδια κι αρνιά θελήσει,0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]",Et la queue de chèvres impeccables et d'agneaux.
66,να προσδεχτεί κι απ᾿ τα κεφάλια μας το χαλασμό να διώξει.»,0.625,0.375,0.0,0.0,"[0.625, 0.375, 0.0, 0.0]",Il faut que nos têtes s'en aillent.
67,"Είπε και κάθισε· του Θέστορα σηκώθη ο γιος, ο Κάλχας,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il dit: Assieds-toi, Thistor, fils de Calchas, se lève."
68,"τότε μπροστά τους, που απ᾿ τους μάντηδες ο πιο τρανός λογιόταν,",0.25,0.625,0.0,0.125,"[0.25, 0.625, 0.0, 0.125]","alors devant eux, qui par les devins le plus grand pensait,"
69,"και όλα τα κάτεχε, μελλούμενα και τωρινά και πρώτα᾿",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]","Et tout ce qu'il y a à faire, à venir et à venir et d'abord."
70,"της Τροίας το δρόμο με την τέχνη του τη μαντική, το δώρο",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]","de Troie la rue avec l'art de la voyante, le cadeau"
71,"του Φοίβου Απόλλωνα, στ᾿ Αργίτικα καράβια είχε ορμηνέψει.",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Phoebe Apollon, sur les bateaux argentins, s'enflamma."
72,και τότε μίλησε καλόγνωμος άναμεσό τους κι εϊπε:,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]",Puis il s'est exprimé avec bonté et leur a dit:
73,"« Αρχοντικέ Αχιλλέα, προστάζεις με να σας ξηγήσω τώρα .",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]",Vous m'ordonnez de vous sortir de là maintenant.
74,του ρήγα Απόλλωνα τη μάνητα του μακροσαγιτάρη.,0.5,0.25,0.125,0.125,"[0.5, 0.25, 0.125, 0.125]","du roi Apollon, la manucure de l'Apocalypse."
75,"Ναι, θα μιλήσω, μα στοχάσου το και συ πιο πριν κι ορκίσου",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]","Oui, je vais parler, mais réfléchissez-y avant de jurer."
76,με λόγια και με χέρια πρόθυμα πώς θα με διαφεντέψεις.,0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]","Avec des mots et des mains, comment tu vas me prendre en charge."
77,"Φοβάμαι, θα θυμώσω κάποιον μας, πού τους Αργίτες όλους",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",J'ai peur. Je vais énerver l'un de nous.
78,περίσσια ξεπερνά στη δύναμη και του αγρικοϋν το λόγο',0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Le Président. - L'ordre du jour appelle en discussion commune les propositions de résolution suivantes:
79,τι αλί στον αχαμνό που τα 'βαλε τρανός μαζί του ρήγας!,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]",Qu'est-ce que c'est que ça? Qu'est-ce que c'est que ça?
80,"Κι αν καταπιεί μαθές τη μάνητα προσώρας και σωπάσει,",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]","Et s'il avale, apprenez à connaître la manne et qu'il se taise,"
81,"όμως καιρό κρατάει το χόλιασμα, ξεγδικιωμό ως να πάρει,",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]","Mais ça fait longtemps qu'il garde le gazon, la vengeance jusqu'à ce qu'il arrive,"
82,βαθιά στα φρένα᾿ τώρα λόγιασε καΐ συ αν θα με γλιτώσεις.»,0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]","Au plus profond des freins, parle-moi, et tu m'échapperas."
83,Τότε ο Αχιλλέας ο φτεροπόδαρος του απηλογήθη κι είπε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Alors Achille, son plumeau, s'excusa et dit:"
84,"« Κουράγιο, κι άφοβα φανέρωσε τη θεία βουλή πού ξέρεις·",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Tiens bon, et montre courageusement le conseil divin que tu connais."
85,"τι άκου, ποτέ, μα τον Απόλλωνα, που εσύ για τους Αργίτες",0.5,0.375,0.0,0.125,"[0.5, 0.375, 0.0, 0.125]","Qu'est-ce qu'il entend, jamais, par Apollon, que tu fais pour les Argytes?"
86,"ανακαλιέσαι, ξεδιαλύνοντας τις θείες βουλές του, Κάλχα,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]","Tu te réconcilies, et tu éclaires ses dieux, Kalha,"
87,"ποτέ όσο ζω κι όσο τα μάτια μου τη γη θωρούν ετούτη,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Jamais tant que je vivrai, tant que mes yeux verront la terre en elle,"
88,κανένας Δαναός απάνω σου δε θα σηκώσει χέρι,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]",Aucun Danois ne lèvera la main sur toi.
89,"βαρύ στα βαθουλά καράβια μας, κι ακόμα αν νοματίσεις",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]","C'est lourd sur nos bateaux, et même si tu saignes."
90,"τον Αγαμέμνονα, που πέτεται πώς είναι απ᾿ όλους πρώτος.»",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Agamemnon, qui s'en va en premier."
91,Κι ο άψεγος μάντης ξεθαρρεύοντας απηλογήθη τότε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Et le devin insolent se découragé s'excusa alors:
92,"« Μήτε κανένα τάμα του 'λειψε μηδέ τρανή θυσία,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]","n'a manqué ni un grand sacrifice,"
93,"χολιάζει μόνο που ο Αγαμέμνονας το Χρύση δε σεβάστη,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","Ça gâche seulement qu'Agamemnon ne respecte pas la loi,"
94,κι ουδέ λευτέρωσε την κόρη του κι ουδέ τα λύτρα εδέχτη.,0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","Et il n'a pas libéré sa fille, et il n'a pas accepté la rançon."
95,Γι᾿ αυτό με συφορές μας έδειρε και θα μας δείρει ακόμα,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",C'est pour ça qu'il nous a battus et qu'il va encore nous frapper.
96,"ο Μακρορίχτης, κι ουδ᾿ απ᾿ τ᾿ άπρεπο κακό θα μας γλιτώσει,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","Longue vie, et le mal inconvenant ne nous sauvera pas,"
97,προτού την αστρομάτα δώσουμε την κορασιά στον κύρη,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]","Avant l'astromata, nous donnons la coriandre au seigneur."
98,"πίσω, ξαπλέρωτη, ξαγόραστη, κι ιερή στη Χρύσα πάμε",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]","Retourne, couche, belle, et sainte à Krysa. Allons-y."
99,"θυσία τρανή· να τον γλυκάνουμε, μπορεί ν᾿ αλλάξει γνώμη.»",0.625,0.375,0.0,0.0,"[0.625, 0.375, 0.0, 0.0]",Il peut changer d'avis.
100,"Ως είπε εκείνος τούτα, κάθισε, και τότε ασκώθη ομπρός τους",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Comme il l'a dit, il s'assit, et il s'entraîna devant eux."
101,"ο πρωταφέντης Αγαμέμνονας, ο γαύρος γιος του Ατρέα,",0.375,0.125,0.375,0.125,"[0.375, 0.125, 0.375, 0.125]","le premier maître Agamemnon, le fils d'anchois d'Atrea,"
102,"χολή γεμάτος, και ξεχείλιζαν τα σκοτεινά του σπλάχνα",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","La bile était pleine, et ses entrailles sombres débordaient."
103,"από το πάθος, και τα μάτια του σαν τη φωτιά ξαστράφταν.",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","De la passion, et ses yeux comme le feu s'éteignaient."
104,Στον Κάλχα πρώτα αγριοκοιτώντας τον γυρνά κι απολογιέται:,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","D'abord Calha, il le regarde et s'excuse:"
105,"« Μάντη κακέ, που λόγο πρόσχαρο δε μου 'χεις πει ποτέ σου!",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]",Tu ne m'as jamais raconté de joyeux discours.
106,Πάντα η καρδιά σου εσένα χαίρεται κακό να προφητεύει',0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]",Ton coeur est toujours heureux de te prophétiser.
107,εσύ καλό μηδέ ξεστόμισες μηδ᾿ έκαμες ποτέ σου.,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]",Tu n'as rien dit de bien et tu ne l'as jamais fait.
108,Έτσι και τώρα ξεδιαλύνοντας τις θείες βουλές φωνάζεις,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","C'est comme ça qu'à la fin des dieux, tu cries."
109,"μπρος στους Αργίτες πως τα πάθη τους τα στέλνει ο Μακρορίχτης,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]","devant les Archanges, comment leurs passions sont envoyées par M. Longue vie,"
110,γιατί το πλούσιο εγώ ξαντίμεμα της κόρης απ᾿ τη Χρύσα,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]",Parce que l'homme riche que j'ai vu sur la fille de Krysa
111,"δεν εστρεξα, μονάχα θέλησα να την κρατώ κοντά μου·",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Je ne me suis pas retournée, Je voulais seulement la garder près de moi."
112,"τι κι απ᾿ την ίδια τη γυναίκα μου, την Κλυταιμήστρα, κάλλιο",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","Qu'est-ce que ma propre femme, Climatestra, au mieux?"
113,μου αρέσει αλήθεια᾿ τι χειρότερη δεν είναι τούτη μήτε,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]",Je l'aime vraiment. Ce qui n'est pas pire.
114,στην ελικιά μηδέ στο ανάριμμα μηδέ στο νου ή στα χέρια.,0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge, ni à l'âge."
115,"Κι όμως, αν πρέπει, παίρνω απόφαση και τήνε δίνω πίσω'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Et pourtant, s'il le faut, je prends une décision et je la rends."
116,"να μην αφανιστεί το ασκέρι μας, να μείνει ακέριο θέλω.",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]","Je veux que notre asperge ne s'éteigne pas, qu'il reste intact."
117,Μα γι᾿ άλλο αρχοντομοίρι γρήγορα γνοιαστείτε᾿ δεν ταιριάζει,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","Mais pour un autre seigneur, soyez vite conscients, ça ne colle pas."
118,δίχως μοιράδι τώρα απ᾿ όλους μας να μένω εγώ μονάχα',0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]","""Aucun sort ne nous attend, ""que moi seul."""
119,"τι φεύγει αλλού το αρχοντομοίρι μου, το βλέπετε κι ατοί σας.»",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]",Qu'est-ce qu'il y a d'autre?
120,Τότε ο Αχιλλέας ο γοργοπόδαρος του απηλογήθη κι είπε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Alors Achille, son pied rapide, s'excusa et dit:"
121,"«Υγιέ του Ατρέα τρανέ κι απ᾿ όλους μας ο πιο συφερτολόγος,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","""Hygien d'Atrea..."" ""Et de nous tous, notre plus fertile philosophe..."""
122,και πώς οι Αργίτες οι τρανόψυχοι να βρουν αρχοντομοίρι,0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","et comment les Argytes, les arrogants, peuvent trouver un seigneur."
123,"να σου το δώσουν; Βιος αμοίραστο δεν έχουμε, όσο ξέρω'",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]",On n'en a pas autant qu'on le sait.
124,"τι όσα απ᾿ τα κάστρα διαγουμίσαμε, τα μοιραστήκαμε όλα,",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]","Qu'est-ce qu'on a fait des châteaux, qu'on a tout partagé,"
125,κι ούτε θα ταίριαζε το ασκέρι μας να τα μαζέψει πάλε.,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]",Et ça ne conviendrait pas non plus à notre asperge de les ramasser.
126,"Μα τώρα τούτη εσύ λευτέρωσε για του θεού τη χάρη,",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Mais maintenant, c'est toi qui as lâché la grâce de Dieu."
127,"κι εμείς διπλά να σε ξοφλήσουμε και τρίδιπλα, αν μια μέρα",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","Et nous deux, on peut te payer trois fois plus, si un jour tu veux."
